YEAR,SAMPLING_ROUND,DATE,SITE,SPECIES,NUM_FLORAL_UNITS,SHRUB_OR_TREE
2,2,5.20.2022,memorial south,Cornus kousa,93,y
2,2,5.20.2022,memorial south,Crataegus monogyna,4,y
2,2,5.20.2022,memorial south,Laburnum anagyroides,11016,y
2,2,5.20.2022,memorial south,Lonicera japonica,325,y
2,2,5.20.2022,memorial south,Magnolia X soulangeana,26,y
2,2,5.16.2022,west memorial,Acer circinatum,2706,y
2,2,5.16.2022,west memorial,Acer circinatum,768,y
2,2,5.16.2022,west memorial,Acer macrophyllum,4092,y
2,2,5.16.2022,west memorial,Acer platanoides,1008,y
2,2,5.16.2022,west memorial,Amelanchier alnifolia,144,y
2,2,5.16.2022,west memorial,Cornus nuttallii,816,y
2,2,5.16.2022,west memorial,Mahonia aquifolium,15,y
2,2,5.16.2022,west memorial,Malus domestica,1394,y
2,2,5.16.2022,west memorial,Malus fusca,396,y
2,2,5.17.2022,winona,NA,0,
2,3,5.30.2022,balaclava,Prunus laurocerasus,8190,y
2,3,6.7.2022,bobolink,Ceanothus cultivar,16,y
2,3,5.31.2022,china creek,Aesculus hippocastanum,40872,y
2,3,5.31.2022,falaise,Cornus sericea,319645,y
2,3,5.31.2022,falaise,Physocarpus capitatus,17960,y
2,3,5.31.2022,falaise,Rosa nutkana,104,y
2,3,5.31.2022,falaise,Rosa pisocarpa,6,y
2,3,5.31.2022,falaise,Rubus parviflorus,211,y
2,3,5.31.2022,falaise,Rubus spectabilis,195,y
2,3,5.31.2022,falaise,Symphoricarpos albus,36,y
2,3,6.7.2022,gordon,Rosa sp.,6,y
2,3,6.7.2022,gordon,Salvia officinalis,125,y
2,3,5.31.2022,kensington,Sorbus hybrida,4365,y
2,3,5.31.2022,killarney,NA,0,
2,3,5.30.2022,locarno,Aesculus hippocastanum,74560,y
2,3,5.30.2022,locarno,Crataegus monogyna,47616,y
2,3,5.30.2022,locarno,Gaultheria shallon,734,y
2,3,5.30.2022,locarno,Prunus serotina,80,y
2,3,5.30.2022,locarno,Rhododendron macrophyllum,2223,y
2,3,5.30.2022,locarno,Rubus spectabilis,51,y
2,3,5.30.2022,locarno,Rubus ursinus,4,y
2,3,5.30.2022,locarno,Sorbus aucuparia,84,y
2,3,5.30.2022,moberly,Centranthus ruber,32,
2,3,5.30.2022,moberly,Symphoricarpos albus,14,y
2,3,5.30.2022,oak meadows,Crataegus douglasii,18,y
2,3,5.30.2022,oak meadows,Cytisus scoparius,52,y
2,3,5.30.2022,oak meadows,Rubus ursinus,4,y
2,3,5.30.2022,oak meadows,Sorbus aria,17280,y
2,3,5.30.2022,prince of wales,Crataegus douglasii,1037,y
2,3,5.30.2022,queen elizabeth,Acer circinatum,1080,y
2,3,5.30.2022,queen elizabeth,Ilex aquifolium,576,y
2,3,5.30.2022,queen elizabeth,Laburnum anagyroides,3444,y
2,3,5.30.2022,quilchena,Aesculus hippocastanum,61440,y
2,3,5.31.2022,rupert,NA,0,
2,3,5.31.2022,slocan,Prunus sp.,10,y
2,3,5.30.2022,memorial south,Acer tataricum,613,y
2,3,5.30.2022,memorial south,Aesculus hippocastanum,22408,y
2,3,5.30.2022,memorial south,Cornus kousa,71,y
2,3,5.30.2022,memorial south,Cornus sericea,448,y
2,3,5.30.2022,memorial south,Crataegus monogyna,2526,y
2,3,5.30.2022,memorial south,Laburnum anagyroides,126846,y
2,3,5.30.2022,memorial south,Lonicera japonica,32,y
2,3,5.30.2022,west memorial,Rhamnus purshiana,396,y
2,3,5.30.2022,west memorial,Gaultheria shallon,48,y
2,3,5.30.2022,west memorial,Ilex aquifolium,3936,y
2,3,5.30.2022,west memorial,Malus fusca,16,y
2,3,5.30.2022,west memorial,Rubus parviflorus,72,y
2,3,5.30.2022,west memorial,Rubus ursinus,18,y
2,3,5.30.2022,winona,NA,0,
2,4,6.10.2022,balaclava,Prunus laurocerasus,188,y
2,4,6.20.2022,bobolink,NA,0,
2,4,6.15.2022,china creek,NA,0,
2,4,6.17.2022,falaise,Gaultheria shallon,24,y
2,4,6.17.2022,falaise,Philadelphus lewisii,676,y
2,4,6.17.2022,falaise,Physocarpus capitatus,47476,y
2,4,6.17.2022,falaise,Rosa nutkana,140,y
2,4,6.17.2022,falaise,Rosa pisocarpa,270,y
2,4,6.17.2022,falaise,Rubus parviflorus,52,y
2,4,6.17.2022,falaise,Symphoricarpos albus,3372,y
2,4,6.20.2022,gordon,NA,0,
2,4,6.15.202,kensington,NA,0,
2,4,6.20.2022,killarney,NA,0,
2,4,6.10.2022,locarno,Gaultheria shallon,496,y
2,4,6.10.202,locarno,Rhododendron macrophyllum,52,y
2,4,6.10.2022,locarno,Rubus armeniacus,4,y
2,4,6.10.202,locarno,Rubus spectabilis,2,y
2,4,6.14.202,moberly,Liriodendron tulipifera,512,y
2,4,6.14.2022,moberly,Symphoricarpos albus,3909,y
2,4,6.17.2022,oak meadows,Rubus armeniacus,20,y
2,4,6.17.2022,oak meadows,Rubus ursinus,2,y
2,4,6.13.2022,prince of wales,NA,0,
2,4,6.13.2022,queen elizabeth,Acer circinatum,396,y
2,4,6.13.2022,quilchena,Cornus sericea,3240,y
2,4,6.20.2022,rupert,NA,0,
2,4,6.20.2022,slocan,NA,0,
2,4,6.14.2022,memorial south,NA,0,
2,4,6.13.202,west memorial,Gaultheria shallon,300,y
2,4,6.13.2022,west memorial,Ilex aquifolium,720,y
2,4,6.13.2022,west memorial,Physocarpus capitatus,3150,y
2,4,6.13.2022,west memorial,Rubus parviflorus,2,y
2,4,6.13.2022,winona,NA,0,
2,5,7.11.2022,oak meadows,Rubus armeniacus,371,y
2,5,7.11.2022,memorial south,NA,0,
2,5,7.12.2022,china creek,NA,0,
2,5,7.12.2022,rupert,NA,0,
2,5,7.12.2022,slocan,NA,0,
2,5,7.8.2022,moberly,Tanacetum camphoratum,882,
2,5,7.8.2022,moberly,Symphoricarpos albus,280,y
2,5,7.8.2022,bobolink,NA,0,
2,5,7.8.2022,killarney,NA,0,
2,5,7.8.2022,falaise,Epilobium angustifolium,382,
2,5,7.8.2022,falaise,Spiraea douglasii,212520,y
2,5,7.8.2022,falaise,Rubus spectabilis,1,y
2,5,7.8.2022,falaise,Symphoricarpos albus,2692,y
2,5,7.8.2022,falaise,Holodiscus discolor,151032,y
2,5,7.8.2022,falaise,Philadelphus lewisii,28,y
2,5,7.8.2022,falaise,Lythrum salicaria,75,
2,5,7.8.2022,falaise,Rubus armeniacus,7,y
2,5,7.11.2022,winona,Rubus armeniacus,30,y
2,5,7.11.2022,queen elizabeth,Rubus armeniacus,420,y
2,5,7.13.2022,locarno,Rubus armeniacus,114,y
2,5,7.13.2022,locarno,Gaultheria shallon,5,y
2,5,7.13.2022,west memorial,Holodiscus discolor,2077,y
2,5,7.13.2022,balaclava,NA,0,
2,5,7.13.2022,prince of wales,Rosaceae sp.,182,y
2,5,7.13.2022,quilchena,NA,0,
2,5,7.14.2022,kensington,NA,0,
2,5,7.14.2022,gordon,NA,0,
2,6,7.27.2022,locarno,Rubus armeniacus,12,y
2,6,7.27.2022,west memorial,NA,0,
2,6,7.28.2022,balaclava,NA,0,
2,6,7.28.2022,quilchena,NA,0,
2,6,7.28.2022,oak meadows,Rubus armeniacus,16,y
2,6,7.28.2022,winona,NA,0,
2,6,7.29.2022,bobolink,NA,0,
2,6,7.29.2022,killarney,NA,0,
2,6,7.29.2022,falaise,Spiraea douglasii,32810,y
2,6,7.29.2022,falaise,Symphoricarpos albus,400,y
2,6,7.29.2022,falaise,Lythrum salicaria,3968,
2,6,7.29.2022,falaise,Epilobium angustifolium,700,
2,6,7.29.2022,falaise,Clematis vitalba,2736,
2,6,8.1.22,moberly,Symphoricarpos albus,644,y
2,6,8.1.22,gordon,NA,0,
2,6,8.1.22,memorial south,Cornus sericea,675,y
2,6,8.1.22,kensington,NA,0,
2,6,8.1.22,slocan,Tilia cordata,1,y
2,6,8.2.22,china creek,NA,0,
2,6,8.2.22,rupert,NA,0,
2,6,8.2.22,queen elizabeth,Catalpa bignonioides,36800,y
2,6,8.2.22,prince of wales,NA,0,
3,1,5.1.2023,locarno,Prunus laurocerasus,6451,y
3,1,5.1.2023,locarno,Acer circinatum,96,y
3,1,5.1.2023,locarno,Cornus nuttallii,132,y
3,1,5.1.2023,locarno,Prunus sp.,152,y
3,1,5.1.2023,locarno,Rubus spectabilis,253,y
3,1,5.1.2023,west memorial,Prunus sp.,1620,y
3,1,5.1.2023,west memorial,Malus domestica,102,y
3,1,5.1.2023,west memorial,Acer circinatum,144,y
3,1,5.1.2023,west memorial,Mahonia aquifolium,934,y
3,1,5.1.2023,west memorial,Rubus spectabilis,7,y
3,1,5.1.2023,west memorial,Vaccinium parvifolium,1572,y
3,1,5.1.2023,west memorial,Acer platanoides,2016,y
3,1,5.1.2023,west memorial,Cornus nuttallii,5,y
3,1,5.1.2023,balaclava,Prunus sp.,21620,y
3,1,5.1.2023,prince of wales,Prunus sp.,30280,y
3,1,5.2.2023,quilchena,Magnolia X soulangeana,30,y
3,1,5.2.2023,quilchena,Acer campestre ,403200,y
3,1,5.2.2023,winona,NA,NA,
3,1,5.3.2023,queen elizabeth,Osmanthus X burkwoodii,570240,y
3,1,5.3.2023,queen elizabeth,Acer circinatum,1960,y
3,1,5.3.2023,queen elizabeth,Prunus sp.,17010,y
3,1,5.3.2023,oak meadows,Malus domestica,1184,y
3,1,5.3.2023,oak meadows,Prunus sp.,5616,y
3,1,5.3.2023,oak meadows,Prunus emarginata,10345,y
3,1,5.3.2023,oak meadows,Ribes sanguinium,1092,y
3,1,5.3.2023,oak meadows,Amelanchier alnifolia,5478,y
3,1,5.3.2023,oak meadows,Acer circinatum,36,y
3,1,5.3.2023,oak meadows,Acer platanoides,4374,y
3,1,5.4.2023,moberly,Mahonia aquifolium,5,y
3,1,5.4.2023,memorial south,Acer circinatum,990,y
3,1,5.4.2023,memorial south,Prunus sp.,579640,y
3,1,5.4.2023,memorial south,Ribes sanguinium,51,y
3,1,5.8.2023,falaise,Mahonia aquifolium,2300,y
3,1,5.8.2023,falaise,Malus domestica,85,y
3,1,5.8.2023,falaise,Ribes sanguinium,2288,y
3,1,5.8.2023,falaise,Lonicera involucrata,228,y
3,1,5.8.2023,falaise,Rubus spectabilis,619,y
3,1,5.8.2023,falaise,Caltha palustris,650,y
3,1,5.8.2023,rupert,Acer tataricum,175,y
3,1,5.8.2023,rupert,Prunus sp.,24000,y
3,1,5.8.2023,rupert,Malus domestica,1000,y
3,1,5.8.2023,bobolink,NA,NA,
3,1,5.8.2023,killarney,Malus domestica,40,y
3,1,5.8.2023,killarney,Acer circinatum,925,y
3,1,5.8.2023,gordon,Malus domestica,95,y
3,1,5.8.2023,gordon,Salvia rosmarinus,250,y
3,1,5.10.2023,kensington,NA,NA,
3,1,5.10.2023,china creek,Aesculus hippocastanum,14720,y
3,2,5.10.2023,quilchena,Magnolia X soulangeana,41,y
3,2,5.10.2023,quilchena,Aesculus hippocastanum,41280,y
3,2,5.10.2023,quilchena,Acer campestre ,161280,y
3,2,5.12.2023,memorial south,Acer circinatum,13200,y
3,2,5.12.2023,memorial south,Magnolia X soulangeana,4,y
3,2,5.12.2023,memorial south,Lonicera japonica,315,y
3,2,5.12.2023,memorial south,Aesculus hippocastanum,5200,y
3,2,5.12.2023,moberly,NA,NA,
3,2,5.12.2023,oak meadows,Prunus emarginata,9930,y
3,2,5.12.2023,oak meadows,Prunus virginiana,22206,y
3,2,5.12.2023,oak meadows,Amelanchier alnifolia,49,y
3,2,5.12.2023,oak meadows,Ribes sanguinium,30,y
3,2,5.12.2023,oak meadows,Malus domestica,1020,y
3,2,5.12.2023,oak meadows,Acer circinatum,1120,y
3,2,5.12.2023,oak meadows,Crataegus douglasii,366,y
3,2,5.12.2023,oak meadows,Malus fusca,206,y
3,2,5.15.2023,locarno,Acer circinatum,14500,y
3,2,5.15.2023,locarno,Cornus nuttallii,110,y
3,2,5.15.2023,locarno,Prunus laurocerasus,2100,y
3,2,5.15.2023,locarno,Rhododendron macrophyllum,2244,y
3,2,5.15.2023,locarno,Wisteria sp.,864,y
3,2,5.15.2023,locarno,Sorbus aucuparia,800,y
3,2,5.15.2023,locarno,Rubus spectabilis,100,y
3,2,5.15.2023,locarno,Crataegus monogyna,84,y
3,2,5.15.2023,locarno,Aesculus hippocastanum,55296,y
3,2,5.15.2023,locarno,Rubus ursinus,24,y
3,2,5.15.2023,balaclava,Prunus laurocerasus,1689600,y
3,2,5.15.2023,west memorial,Vaccinium parvifolium,141,y
3,2,5.15.2023,west memorial,Cornus nuttallii,5,y
3,2,5.15.2023,west memorial,Malus domestica,1381,y
3,2,5.15.2023,west memorial,Malus fusca,25,y
3,2,5.15.2023,west memorial,Ilex aquifolium,2650,y
3,2,5.15.2023,west memorial,Rubus ursinus,5,y
3,2,5.15.2023,west memorial,Rubus parvifolium ,12,y
3,2,5.15.2023,west memorial,Acer circinatum,30,y
3,2,5.15.2023,west memorial,Rhamnus purshiana,96,y
3,2,5.15.2023,prince of wales,Crataegus douglasii,35840,y
3,2,5.16.2023,queen elizabeth,Osmanthus X burkwoodii,1300,y
3,2,5.16.2023,queen elizabeth,Ilex aquifolium,16,y
3,2,5.16.2023,queen elizabeth,Laburnum anagyroides,1536,y
3,2,5.16.2023,queen elizabeth,Acer circinatum,9300,y
3,2,5.16.2023,queen elizabeth,Prunus sp.,1192,y
3,2,5.16.2023,winona,NA,NA,
3,2,5.16.2023,china creek,Aesculus hippocastanum,29000,y
3,2,5.16.2023,kensington,Sorbus hybrida,2670,y
3,2,5.16.2023,kensington,Sorbus aucuparia,750,y
3,2,5.17.2023,slocan,Prunus sp.,750,y
3,2,5.17.2023,falaise,Rosa nutkana,16,y
3,2,5.17.2023,falaise,Cornus sericea,32650,y
3,2,5.17.2023,falaise,Rubus spectabilis,536,y
3,2,5.17.2023,falaise,Rubus parvifolium ,6,y
3,2,5.17.2023,falaise,Lonicera involucrata,306,y
3,2,5.17.2023,falaise,Physocarpus capitatus,418,y
3,2,5.17.2023,falaise,Rosa pisocarpa,7,y
3,2,5.17.2023,Rupert,NA,NA,
3,2,5.17.2023,gordon,Viburnum plicatum,400,y
3,2,5.17.2023,gordon,Salvia rosmarinus,300,y
3,2,5.19.2023,bobolink,NA,NA,
3,2,5.19.2023,killarney,NA,NA,
3,3,5.25.2023,locarno,Rhododendron macrophyllum,1892,y
3,3,5.25.2023,locarno,Wisteria sp.,1296,y
3,3,5.25.2023,locarno,Gaultheria shallon,360,y
3,3,5.25.2023,locarno,Prunus serotina,2232,y
3,3,5.25.2023,locarno,Aesculus hippocastanum,18432,y
3,3,5.25.2023,west memorial,Rubus parvifolium ,6,y
3,3,5.25.2023,west memorial,Rubus ursinus,120,y
3,3,5.25.2023,west memorial,Ilex aquifolium,200,y
3,3,5.25.2023,balaclava,NA,NA,
3,3,5.25.2023,prince of wales,Crataegus douglasii,400,y
3,3,5.25.2023,quilchena,Cornus sericea,418,y
3,3,5.25.2023,quilchena,Aesculus hippocastanum,13600,y
3,3,5.26.2023,oak meadows,Rubus ursinus,71,y
3,3,5.26.2023,oak meadows,Sambucus racemosa,800,y
3,3,5.26.2023,oak meadows,Prunus serotina,15120,y
3,3,5.26.2023,queen elizabeth,NA,NA,
3,3,5.26.2023,winona,NA,NA,
3,3,5.26.2023,kensington,NA,NA,
3,3,5.29.2023,china creek,Aesculus hippocastanum,9184,y
3,3,5.29.2023,memorial south,Robinia pseudoacacia,2524000,y
3,3,5.29.2023,memorial south,Cornus sericea,120,y
3,3,5.29.2023,memorial south,Acer tataricum,75,y
3,3,5.29.2023,moberly,Symphoricarpos albus,2400,y
3,3,5.29.2023,killarney,NA,NA,
3,3,6.1.2023,rupert,NA,NA,
3,3,6.1.2023,falaise,Physocarpus capitatus,182016,y
3,3,6.1.2023,falaise,Symphoricarpos albus,952,y
3,3,6.1.2023,falaise,Cornus sericea,92,y
3,3,6.1.2023,falaise,Rosa nutkana,242,y
3,3,6.1.2023,falaise,Rubus parvifolium ,154,y
3,3,6.1.2023,falaise,Rubus spectabilis,12,y
3,3,6.1.2023,falaise,Rosa pisocarpa,140,y
3,3,6.1.2023,falaise,Philadelphus lewisii,160,y
3,3,6.1.2023,slocan,NA,NA,
3,3,6.1.2023,bobolink,Robinia pseudoacacia,48384,y
3,3,6.2.2023,gordon,NA,NA,
3,4,6.22.2023,kensington,NA,NA,
3,4,6.22.2023,killarney,NA,NA,
3,4,6.22.2023,bobolink,NA,NA,
3,4,6.26.2023,gordon,NA,NA,
3,4,6.26.2023,rupert,NA,NA,
3,4,6.26.2023,falaise,Holodiscus discolor,1872000,y
3,4,6.26.2023,falaise,Symphoricarpos albus,2164,y
3,4,6.26.2023,falaise,Rubus discolor,160,y
3,4,6.26.2023,falaise,Spiraea douglasii,32112,y
3,4,6.26.2023,falaise,Epilobium angostifolium,676,
3,4,6.26.2023,slocan,NA,NA,
3,4,6.26.2023,china creek,NA,NA,
3,4,6.27.2023,locarno,Rubus armeniacus,264,y
3,4,6.27.2023,locarno,Gaultheria shallon,144,y
3,4,6.27.2023,west memorial,NA,NA,
3,4,6.27.2023,balaclava,NA,NA,
3,4,6.27.2023,prince of wales,NA,NA,
3,4,6.28.2023,quilchena,NA,NA,
3,4,6.28.2023,oak meadows,Rubus armeniacus,360,y
3,4,6.28.2023,queen elizabeth,NA,NA,
3,4,6.28.2023,moberly,Symphoricarpos albus,850,y
3,4,6.29.2023,memorial south,NA,NA,
3,4,6.29.2023,winona,Rubus armeniacus,48,y
3,5,7.13.2023,oak meadows,Rubus armeniacus,6,y
3,5,7.13.2023,oak meadows,Symphoricarpos albus,24,y
3,5,7.13.2023,kensington,NA,NA,
3,5,7.13.2023,killarney,NA,NA,
3,5,7.13.2023,bobolink,NA,NA,
3,5,7.14.2023,moberly,Symphoricarpos albus,262,y
3,5,7.14.2023,quilchena,NA,NA,
3,5,7.14.2023,prince of wales,NA,NA,
3,5,7.14.2023,balaclava,NA,NA,
3,5,7.14.2023,west memorial,NA,NA,
3,5,7.14.2023,locarno,Rubus armeniacus,10,y
3,5,7.21.2023,queen elizabeth,NA,NA,
3,5,7.21.2023,winona,Rubus armeniacus,10,y
3,5,7.21.2023,memorial south,NA,NA,
3,5,7.21.2023,gordon,NA,NA,
3,5,7.26.2023,china creek,NA,NA,
3,5,7.26.2023,rupert,NA,NA,
3,5,7.26.2023,falaise,Clematis vitalba,459,
3,5,7.26.2023,falaise,Lythrum salicaria,280,
3,5,7.26.2023,falaise,Spiraea douglasii,1600,y
3,5,7.26.2023,falaise,Symphoricarpos albus,106,y
3,5,7.26.2023,falaise,Epilobium angostifolium,900,
3,5,7.26.2023,falaise,Rubus armeniacus,8,y
3,5,7.26.2023,slocan,NA,NA,
3,6,7.27.2023,locarno,Rubus armeniacus,5,y
3,6,7.27.2023,west memorial,NA,NA,
3,6,7.27.2023,balaclava,NA,NA,
3,6,7.27.2023,prince of wales,NA,NA,
3,6,8.1.2023,queen elizabeth,NA,NA,
3,6,8.1.2023,oak meadows,Symphoricarpos albus,128,y
3,6,8.1.2023,oak meadows,Rubus armeniacus,5,y
3,6,8.1.2023,winona,Rubus armeniacus,4,y
3,6,8.1.2023,moberly,Symphoricarpos albus,190,y
3,6,8.1.2023,memorial south,NA,NA,
3,6,8.2.2023,china creek,NA,NA,
3,6,8.2.2023,rupert,NA,NA,
3,6,8.2.2023,falaise,Symphoricarpos albus,52,y
3,6,8.2.2023,falaise,Epilobium angostifolium,234,
3,6,8.2.2023,falaise,Clematis vitalba,118,
3,6,8.2.2023,falaise,Lythrum salicaria,144,
3,6,8.2.2023,falaise,Rubus armeniacus,3,y
3,6,8.2.2023,slocan,NA,NA,
3,6,8.3.2023,kensington,NA,NA,
3,6,8.3.2023,killarney,NA,NA,
3,6,8.3.2023,bobolink,NA,NA,
3,6,8.3.2023,gordon,Rosa sp.,2,y
3,6,7.27.2023,quilchena,NA,NA,
